name,time,heat_interval,heater,heater_kWhr,heater_watts,interval,local_dt,temp_closet,temp_outdoor,temp_shed,yr_mo
temp,2023-09-05T18:19:17.35065984Z,0,0,196.708,0,60.13198,2023-09-05T14:19:17,31.3125,37.9375,34.9375,23-09
temp,2023-09-05T18:20:17.47853384Z,0,0,196.708,0,60.127874,2023-09-05T14:20:17,31.25,36.9375,34.9375,23-09
temp,2023-09-05T18:21:17.67851684Z,0,0,196.708,0,60.199983,2023-09-05T14:21:17,31.1875,37,34.875,23-09
temp,2023-09-05T18:22:17.80830084Z,0,0,196.708,0,60.129784,2023-09-05T14:22:17,31.1875,36.3125,34.9375,23-09
temp,2023-09-05T18:23:17.93852584Z,0,0,196.708,0,60.130225,2023-09-05T14:23:17,31.0625,36.625,34.9375,23-09
temp,2023-09-05T18:24:18.07879184Z,0,0,196.708,0,60.140266,2023-09-05T14:24:18,31.0625,36.25,34.75,23-09
temp,2023-09-05T18:25:18.21406584Z,0,0,196.708,0,60.135274,2023-09-05T14:25:18,30.9375,35.5,34.8125,23-09
temp,2023-09-05T18:26:18.33853984Z,0,0,196.708,0,60.124474,2023-09-05T14:26:18,30.875,35.75,34.8125,23-09
temp,2023-09-05T18:27:18.41851884Z,0,0,196.708,0,60.079979,2023-09-05T14:27:18,30.875,35.625,34.8125,23-09
temp,2023-09-05T18:28:18.76852284Z,0,0,196.708,0,60.350004,2023-09-05T14:28:18,30.875,37.625,34.625,23-09
temp,2023-09-05T18:29:18.88052984Z,0,0,196.708,0,60.112007,2023-09-05T14:29:18,30.875,38.875,34.5625,23-09
temp,2023-09-05T18:30:18.94309484Z,0,0,196.708,0,60.062565,2023-09-05T14:30:18,30.9375,39.6875,34.5625,23-09
temp,2023-09-05T18:31:19.18849584Z,0,0,196.708,0,60.245401,2023-09-05T14:31:19,31,40.0625,34.5625,23-09
temp,2023-09-05T18:32:19.37147284Z,0,0,196.708,0,60.182977,2023-09-05T14:32:19,31,40.0625,34.625,23-09
temp,2023-09-05T18:33:19.48851384Z,0,0,196.708,0,60.117041,2023-09-05T14:33:19,31,40.3125,34.625,23-09
temp,2023-09-05T18:34:19.79846084Z,0,0,196.708,0,60.309947,2023-09-05T14:34:19,31.125,40.4375,34.6875,23-09
