name,time,avg_temp_closet,avg_temp_outdoor,avg_temp_shed,heater,heater_kWhr,heater_on,heater_watts,interval,local_dt,max_temp_closet,min_temp_closet,yr_mo
m30_temp,2023-10-23T00:00:00Z,17.597916666666666,10.168750000000001,15.243749999999999,0,0,0,0,1804.6889610000003,2023-10-22T20:00:37,17.75,17.4375,23-10
m30_temp,2023-10-23T00:30:00Z,17.320833333333333,9.8125,15.241666666666667,0,0,0,0,1805.461015,2023-10-22T20:30:42,17.4375,17.1875,23-10
m30_temp,2023-10-23T01:00:00Z,17.047916666666666,9.239583333333334,14.799999999999999,0,0,0,0,1805.6116409999997,2023-10-22T21:00:47,17.1875,16.9375,23-10
m30_temp,2023-10-23T01:30:00Z,16.79375,9.075,14.795833333333333,0,0,0,0,1805.520816,2023-10-22T21:30:53,16.9375,16.625,23-10
m30_temp,2023-10-23T02:00:00Z,16.63125,8.729687499999999,14.336458333333331,0,0,0,0,1745.0612200000003,2023-10-22T22:00:58,16.6875,16.5,23-10
m30_temp,2023-10-23T02:30:00Z,16.404166666666665,8.933333333333332,14.489583333333334,0,0,0,0,1805.746399,2023-10-22T22:30:03,16.5625,16.25,23-10
m30_temp,2023-10-23T03:00:00Z,16.141666666666666,9.0375,14.395833333333334,0,0,0,0,1805.537296,2023-10-22T23:00:09,16.25,16,23-10
m30_temp,2023-10-23T03:30:00Z,15.904166666666667,8.96875,14.233333333333334,0,0,0,0,1805.3126690000001,2023-10-22T23:30:15,16.0625,15.75,23-10
m30_temp,2023-10-23T04:00:00Z,15.658333333333331,8.9125,14.133333333333335,0,0,0,0,1805.6380800000002,2023-10-23T00:00:20,15.8125,15.5625,23-10
m30_temp,2023-10-23T04:30:00Z,16.058333333333334,8.687500000000002,14.00625,1,0.0589999999999975,1203.144657,121.93333333333334,1805.229831,2023-10-23T00:30:26,17.5,15.4375,23-10
m30_temp,2023-10-23T05:00:00Z,16.65416666666667,8.283333333333331,13.664583333333335,0,0.002999999999985903,60.743581,6.1000000000000005,1804.566761726,2023-10-23T01:00:32,17.625,16.1875,23-10
m30_temp,2023-10-23T05:30:00Z,16.0875,8.658333333333333,13.860416666666666,0,0,0,0,1805.8238619999997,2023-10-23T01:30:36,16.1875,15.9375,23-10
m30_temp,2023-10-23T06:00:00Z,15.795833333333333,8.525,13.833333333333334,0,0,0,0,1805.4399329999999,2023-10-23T02:00:41,15.9375,15.6875,23-10
m30_temp,2023-10-23T06:30:00Z,15.585416666666667,8.2125,13.524999999999999,1,0.012000000000000455,240.629911,24.400000000000002,1805.9400179999998,2023-10-23T02:30:47,15.875,15.4375,23-10
m30_temp,2023-10-23T07:00:00Z,16.791666666666668,8.549999999999999,13.662500000000001,1,0.03100000000000591,662.9992609999999,67.13333333333334,1806.039996,2023-10-23T03:00:53,17.625,16.0625,23-10
m30_temp,2023-10-23T07:30:00Z,16.03020833333333,8.588020833333333,13.674479166666666,0,0,0,0,1745.7501280000001,2023-10-23T03:30:59,16.3125,15.8125,23-10
m30_temp,2023-10-23T08:00:00Z,15.672916666666666,8.595833333333333,13.56875,0,0,0,0,1805.2119519999999,2023-10-23T04:00:05,15.8125,15.5625,23-10
m30_temp,2023-10-23T08:30:00Z,16.28125,8.637500000000001,13.520833333333334,1,0.04399999999998272,843.270585,85.23333333333333,1806.835849,2023-10-23T04:30:10,17.6875,15.4375,23-10
m30_temp,2023-10-23T09:00:00Z,16.354166666666668,8.658333333333333,13.585416666666667,0,0,0,0,1805.1720489999998,2023-10-23T05:00:17,17.0625,15.9375,23-10
m30_temp,2023-10-23T09:30:00Z,15.789583333333333,8.254166666666668,13.558333333333332,0,0,0,0,1804.9141490000002,2023-10-23T05:30:22,15.9375,15.625,23-10
m30_temp,2023-10-23T10:00:00Z,15.602083333333333,7.577083333333332,13.010416666666666,0,0,0,0,1804.5434799999998,2023-10-23T06:00:27,15.6875,15.5,23-10
m30_temp,2023-10-23T10:30:00Z,15.504166666666668,7.5687500000000005,12.922916666666666,1,0.003999999999990678,120.44018299999999,12.166666666666666,1806.4416070000002,2023-10-23T06:30:31,15.5625,15.4375,23-10
m30_temp,2023-10-23T11:00:00Z,16.71875,7.345833333333334,12.729166666666666,1,0.03299999999998704,662.3998170000001,66.66666666666667,1805.9782280000004,2023-10-23T07:00:38,17.625,15.75,23-10
m30_temp,2023-10-23T11:30:00Z,16.060416666666665,7.8374999999999995,12.475,0,0,0,0,1805.8131080000003,2023-10-23T07:30:44,16.25,15.9375,23-10
m30_temp,2023-10-23T12:00:00Z,15.845833333333331,9.297916666666667,12.85,0,0,0,0,1805.8373920000004,2023-10-23T08:00:49,16,15.6875,23-10
m30_temp,2023-10-23T12:30:00Z,15.602604166666666,10.116145833333333,13.304166666666667,0,0,0,0,1744.822095,2023-10-23T08:30:55,15.6875,15.5,23-10
m30_temp,2023-10-23T13:00:00Z,16.647916666666664,17.2625,13.6625,1,0.04400000000001114,842.985915,85.39999999999999,1806.7700250000003,2023-10-23T09:00:00,17.6875,15.4375,23-10
m30_temp,2023-10-23T13:30:00Z,16.21666666666667,14.331249999999999,14.197916666666666,0,0,0,0,1806.209938,2023-10-23T09:30:07,16.5625,16,23-10
m30_temp,2023-10-23T14:00:00Z,16.129166666666666,20.43958333333333,14.620833333333332,0,0,0,0,1805.837951,2023-10-23T10:00:13,16.5625,16,23-10
m30_temp,2023-10-23T14:30:00Z,17.0125,21.6125,15.362499999999999,0,0,0,0,1805.580058,2023-10-23T10:30:19,17.25,16.625,23-10
m30_temp,2023-10-23T15:00:00Z,18.108333333333334,28.079166666666666,16.02916666666667,0,0,0,0,1805.3420310000001,2023-10-23T11:00:24,18.8125,17.25,23-10
m30_temp,2023-10-23T15:30:00Z,19.087500000000002,18.7875,16.366666666666664,0,0,0,0,1804.447825,2023-10-23T11:30:30,19.25,18.8125,23-10
m30_temp,2023-10-23T16:00:00Z,19.410416666666666,19.92083333333333,16.589583333333334,0,0,0,0,1805.6521320000004,2023-10-23T12:00:34,19.5,19.25,23-10
m30_temp,2023-10-23T16:30:00Z,19.664583333333336,22.252083333333335,16.866666666666664,0,0,0,0,1806.089081,2023-10-23T12:30:40,19.9375,19.4375,23-10
m30_temp,2023-10-23T17:00:00Z,20.06458333333333,17.60625,17.20625,0,0,0,0,1806.1009480000002,2023-10-23T13:00:46,20.1875,20,23-10
m30_temp,2023-10-23T17:30:00Z,19.868750000000002,15.335416666666667,17.247916666666665,0,0,0,0,1805.371588,2023-10-23T13:30:52,19.9375,19.8125,23-10
m30_temp,2023-10-23T18:00:00Z,19.7375,15.735416666666666,17.25,0,0,0,0,1744.8098320000001,2023-10-23T14:00:58,19.8125,19.625,23-10
m30_temp,2023-10-23T18:30:00Z,19.558333333333334,14.75625,17.254166666666666,0,0,0,0,1805.566907,2023-10-23T14:30:03,19.6875,19.4375,23-10
m30_temp,2023-10-23T19:00:00Z,19.3875,15.325000000000001,17.277083333333334,0,0,0,0,1805.921701,2023-10-23T15:00:08,19.5,19.25,23-10
m30_temp,2023-10-23T19:30:00Z,19.34583333333333,16.06875,17.39375,0,0,0,0,1805.4311310000003,2023-10-23T15:30:14,19.4375,19.3125,23-10
m30_temp,2023-10-23T20:00:00Z,19.179166666666664,14.120833333333332,17.400000000000002,0,0,0,0,1805.928868,2023-10-23T16:00:19,19.25,19,23-10
m30_temp,2023-10-23T20:30:00Z,18.977083333333333,13.429166666666667,17.339583333333334,0,0,0,0,1805.5608809999999,2023-10-23T16:30:25,19.0625,18.875,23-10
m30_temp,2023-10-23T21:00:00Z,18.78333333333333,12.591666666666669,17.202083333333334,0,0,0,0,1803.8882669999998,2023-10-23T17:00:31,18.875,18.6875,23-10
m30_temp,2023-10-23T21:30:00Z,18.579166666666666,11.679166666666665,16.881250000000005,0,0,0,0,1805.423456,2023-10-23T17:30:35,18.6875,18.4375,23-10
m30_temp,2023-10-23T22:00:00Z,18.385416666666664,11.204166666666667,16.54375,0,0,0,0,1805.177389,2023-10-23T18:00:40,18.4375,18.3125,23-10
m30_temp,2023-10-23T22:30:00Z,18.214583333333334,10.110416666666667,16,0,0,0,0,1805.724372,2023-10-23T18:30:45,18.375,18.125,23-10
m30_temp,2023-10-23T23:00:00Z,18.0125,10.622916666666667,15.616666666666667,0,0,0,0,1805.5220499999998,2023-10-23T19:00:51,18.125,17.875,23-10
m30_temp,2023-10-23T23:30:00Z,17.796354166666664,10.566666666666668,15.873437500000001,0,0,0,0,1745.405593,2023-10-23T19:30:57,17.9375,17.6875,23-10
m30_temp,2023-10-24T00:00:00Z,17.593749999999996,10.170833333333333,15.5,0,0,0,0,1805.9379520000002,2023-10-23T20:00:02,17.6875,17.5,23-10
m30_temp,2023-10-24T00:30:00Z,17.385416666666668,10.454166666666666,15.654166666666667,0,0,0,0,1805.939488,2023-10-23T20:30:08,17.5,17.25,23-10
m30_temp,2023-10-24T01:00:00Z,17.179166666666664,9.883333333333333,15.441666666666665,0,0,0,0,1805.850472,2023-10-23T21:00:14,17.3125,17.0625,23-10
m30_temp,2023-10-24T01:30:00Z,16.964583333333334,9.220833333333333,14.927083333333334,0,0,0,0,1806.0200079999997,2023-10-23T21:30:20,17.0625,16.8125,23-10
m30_temp,2023-10-24T02:00:00Z,16.739583333333332,8.877083333333333,14.7125,0,0,0,0,1805.7689710000002,2023-10-23T22:00:26,16.875,16.625,23-10
m30_temp,2023-10-24T02:30:00Z,16.629166666666666,8.566666666666668,14.343749999999998,0,0,0,0,1804.4210200000002,2023-10-23T22:30:31,16.6875,16.5,23-10
m30_temp,2023-10-24T03:00:00Z,16.422916666666666,8.35,14.166666666666666,0,0,0,0,1804.6100769999998,2023-10-23T23:00:36,16.5625,16.3125,23-10
