name,time,avgWatts,interval,kWh_charge,kWh_discharge,local_dt,maxChargeCurrent,maxChargeWatts,maxDischargeCurrent,maxDischargeWatts,min_Ahr2empty,min_Voltage,min_soc,pakMinT,pakMinV,yr_mo
m5_battery,2023-12-25T00:00:00Z,2746.563778049936,286.2056257724762,10.8398876953125,12.2582841796875,2023-12-24T19:00:23,54.43,2818.76,52.44,2715.74,309.83840625,51.759607843137275,51.55,11,3.67,23-12
m5_battery,2023-12-25T00:05:00Z,2743.398693957147,225.24176025390625,11.0140693359375,12.2582841796875,2023-12-24T19:05:04,54.18,2806.5,52.25,2707.86,313.95340625,51.79028571428569,52.23,11,3.67,23-12
m5_battery,2023-12-25T00:10:00Z,2751.324604321148,359.77589321136475,11.2896767578125,12.2582841796875,2023-12-24T19:10:15,54.17,2809.61,52.21,2708.11,318.506375,51.82775147928993,52.99,11,3.67,23-12
m5_battery,2023-12-25T00:15:00Z,2724.7702961706,286.7739930152893,11.5084619140625,12.2582841796875,2023-12-24T19:15:05,53.84,2792.75,52.07,2701.54,322.758625,51.869583333333274,53.7,11,3.675,23-12
m5_battery,2023-12-25T00:20:00Z,2727.150210969781,328.85694336891174,11.7587978515625,12.2582841796875,2023-12-24T19:20:16,53.45,2775.49,52.06,2702.82,327.27615625,51.909302325581365,54.45,11,3.68,23-12
m5_battery,2023-12-25T00:25:00Z,2729.344589751603,286.64614033699036,11.977873046875,12.2582841796875,2023-12-24T19:25:27,53.65,2788.59,51.59,2681,331.79459375,51.95384615384617,55.2,11,3.68,23-12
m5_battery,2023-12-25T00:30:00Z,2729.4646128963345,257.1016240119934,12.1736484375,12.2582841796875,2023-12-24T19:30:07,53.74,2796.29,52.04,2707.03,335.8681875,51.99457142857143,55.88,11,3.685,23-12
m5_battery,2023-12-25T00:35:00Z,2759.5141576537194,328.81869626045227,12.4270703125,12.2582841796875,2023-12-24T19:35:19,62.09,3234.13,50.7,2638.47,340.38390625,52.038455284552875,56.63,11,3.685,23-12
m5_battery,2023-12-25T00:40:00Z,2761.6554794554954,307.3311257362366,12.66427734375,12.2582841796875,2023-12-24T19:40:09,53.79,2802.28,52.27,2725.3,344.63521875,52.0959183673469,57.34,11,3.69,23-12
m5_battery,2023-12-25T00:45:00Z,2771.0431370875044,286.5683352947235,12.8865107421875,12.2582841796875,2023-12-24T19:45:20,54.28,2833.41,52.12,2720.54,349.19034375,52.14458333333337,58.1,11,3.695,23-12
m5_battery,2023-12-25T00:50:00Z,2760.1351216925173,307.86224937438965,13.1240185546875,12.2582841796875,2023-12-24T19:50:00,53.73,2806.16,52.21,2726.78,353.30596875,52.19277777777781,58.78,11,3.7,23-12
m5_battery,2023-12-25T00:55:00Z,2750.9534853498844,256.35391330718994,13.3214072265625,12.2582841796875,2023-12-24T19:55:11,53.59,2800.7,51.99,2717.08,357.85359375,52.24941176470588,59.54,11,3.7,23-12
m5_battery,2023-12-25T01:00:00Z,-647.9720449737721,344.96008467674255,13.373072265625,12.3543681640625,2023-12-24T20:00:01,53.37,2791.47,-37.19,-1899.46,360.42775,51.02914285714284,59.97,11,3.65,23-12
m5_battery,2023-12-25T01:05:00Z,-1217.2580765823348,286.773149728775,13.373072265625,12.4519482421875,2023-12-24T20:05:29,-22.15,-1128.71,-24.67,-1257.52,358.51428125,50.94400000000003,59.65,11,3.64,23-12
m5_battery,2023-12-25T01:10:00Z,-1506.066781281146,256.2044517993927,13.373072265625,12.5618486328125,2023-12-24T20:10:10,-22.03,-1122.21,-62.6,-3158.28,356.350625,50.43560000000003,59.29,11,3.61,23-12
m5_battery,2023-12-25T01:15:00Z,-2536.4388646472803,328.6121256351471,13.373072265625,12.7999814453125,2023-12-24T20:15:00,-38.41,-1942.17,-69.78,-3500.43,351.6165,50.15980392156864,58.5,11,3.595,23-12
m5_battery,2023-12-25T01:20:00Z,-2159.783122113197,307.61922812461853,13.373072265625,12.9860751953125,2023-12-24T20:20:11,-40.43,-2041.38,-48.59,-2447.29,347.933,50.36151515151512,57.89,11,3.605,23-12
m5_battery,2023-12-25T01:25:00Z,-2041.6823930524397,287.167503118515,13.373072265625,13.1492744140625,2023-12-24T20:25:22,-38.26,-1929.73,-47.97,-2415.88,344.70034375,50.37163265306119,57.35,11,3.605,23-12
m5_battery,2023-12-25T01:30:00Z,-2033.7264288275558,308.0083508491516,13.373072265625,13.3237685546875,2023-12-24T20:30:03,-38.52,-1942.49,-41.73,-2102.39,341.230875,50.359999999999964,56.77,11,3.6,23-12
m5_battery,2023-12-25T01:35:00Z,-1757.1514304600632,277.29894042015076,13.373072265625,13.46057421875,2023-12-24T20:35:14,-22.7,-1147.36,-40.23,-2026.32,338.51890625,50.360999999999976,56.32,11,3.6,23-12
m5_battery,2023-12-25T01:40:00Z,-1415.9554277289635,307.199289560318,13.373072265625,13.5823564453125,2023-12-24T20:40:04,-22.72,-1148.58,-35.54,-1791.31,336.11296875,50.37687500000001,55.92,11,3.6,23-12
m5_battery,2023-12-25T01:45:00Z,-1716.3003075707056,307.35751390457153,13.373072265625,13.7297470703125,2023-12-24T20:45:15,-32.63,-1643.37,-35.57,-1790.73,333.1761875,50.347941176470556,55.43,11,3.6,23-12
m5_battery,2023-12-25T01:50:00Z,-1649.1933059470969,287.1996304988861,13.373072265625,13.862365234375,2023-12-24T20:50:47,-31.48,-1585.79,-34.31,-1727.09,330.545125,50.3357692307692,54.99,11,3.6,23-12
m5_battery,2023-12-25T01:55:00Z,-1570.5061987944753,307.64867067337036,13.373072265625,13.997357421875,2023-12-24T20:55:06,-20.46,-1032.24,-33.36,-1678.98,327.866,50.308461538461515,54.55,11,3.595,23-12
m5_battery,2023-12-25T02:00:00Z,-1182.2825172969888,277.16739320755005,13.373072265625,14.08898046875,2023-12-24T21:00:18,-19.91,-1005.16,-48.25,-2434.52,326.04903125,50.381346153846216,54.25,11,3.595,23-12
m5_battery,2023-12-25T02:05:00Z,-1193.4857327019124,307.45272517204285,13.373072265625,14.191484375,2023-12-24T21:05:08,-22.62,-1139.98,-24.38,-1229.14,324.01678125,50.39173076923078,53.91,10,3.6,23-12
m5_battery,2023-12-25T02:10:00Z,-1310.561967017514,305.7813723087311,13.373072265625,14.3042197265625,2023-12-24T21:10:19,-22.39,-1128.77,-27.47,-1383.06,321.776375,50.326969696969684,53.53,10,3.595,23-12
