name,time,avg_temp_closet,avg_temp_outdoor,avg_temp_shed,heater_on,interval,local_dt,max_temp_closet,min_temp_closet,pct.heater_on,yr_mo
temp,2023-04-18T00:00:00Z,18.627041666666667,14.075442708333332,15.797447916666664,0,9.998763376944444,2023-04-18T19:55:00,20.4,15.5,0,23-04
temp,2023-04-19T00:00:00Z,16.594525462962963,8.876414207175925,12.375441261574075,2.2427454502777775,24.01514775137694,2023-04-19T19:55:54,18.1,15.1,0.09338878417473767,23-04
temp,2023-04-20T00:00:00Z,16.14423611111111,10.820804398148148,13.526493778935189,1.669250011388889,23.983719094127228,2023-04-20T19:55:56,18.1,15.1,0.06959929795865687,23-04
temp,2023-04-21T00:00:00Z,17.439068287037035,12.186480034722218,15.273213252314811,1.3490125683333334,23.98431257507917,2023-04-21T19:55:00,19.5,15.1,0.05624562155410787,23-04
temp,2023-04-22T00:00:00Z,16.82846064814815,9.989283130787038,12.98693214699074,1.3658917672222222,24.005360390106944,2023-04-22T19:55:20,19.4,15.1,0.05689944849922485,23-04
temp,2023-04-23T00:00:00Z,16.470561342592593,7.486639178240739,11.25274884259259,3.322058446111111,23.998185224208893,2023-04-23T19:55:13,18.1,15.1,0.13842956936426526,23-04
temp,2023-04-24T00:00:00Z,17.87385897435897,11.654991096866095,13.83124732905983,5.467531635277778,23.94880728617889,2023-04-24T19:55:15,21,15.1,0.2283007905129851,23-04
temp,2023-04-25T00:00:00Z,16.89606172839506,12.241628086419754,14.35934413580247,0.6565271472222223,22.398035673333606,2023-04-25T18:25:28,18.8,15.1,0.029311818089648937,23-04
temp,2023-04-26T00:00:00Z,18.338452380952383,11.653546626984127,14.217415674603174,10.025623034868334,25.514503917090547,2023-04-26T19:55:35,22.5,15.1,0.39293819183969336,23-04
temp,2023-04-27T00:00:00Z,17.09129050925926,12.242719184027779,14.723527922453705,0.640641813611111,23.99990389114166,2023-04-27T19:55:35,20.5,15.1,0.026693515795601634,23-04
temp,2023-04-28T00:00:00Z,16.621203703703703,12.907175925925925,15.44200303819445,1.432393390277778,24.00066037363861,2023-04-28T19:55:37,18.1,15.1,0.05968141576017062,23-04
temp,2023-04-29T00:00:00Z,16.308877314814822,11.155164930555555,14.671723090277778,0.6070889022222222,23.98205193570111,2023-04-29T19:55:33,18.1,15.1,0.0253143018724963,23-04
temp,2023-04-30T00:00:00Z,16.47700810185185,8.728356481481484,12.706018518518517,3.271918415,23.99801380784944,2023-04-30T19:55:26,18.1,15.1,0.13634121728564877,23-04
temp,2023-05-01T00:00:00Z,16.991354166666664,9.253255208333332,12.804622395833333,0,3.996856523055556,2023-04-30T23:55:15,17.5,16.3,0,23-04
temp,2023-05-01T00:00:00Z,19.784395833333335,15.023593749999998,17.655052083333338,0,20.003264984043618,2023-05-01T19:55:27,27,15.3,0,23-05
temp,2023-05-02T00:00:00Z,17.91839120370371,10.706289785879628,14.484092881944449,0,23.946681045883338,2023-05-02T19:55:16,23.3,15.5,0,23-05
temp,2023-05-03T00:00:00Z,16.284670138888895,9.969494357638892,13.504243344907414,2.2260855627777776,23.897417037953886,2023-05-03T19:55:20,18.1,15.1,0.09315172260007464,23-05
temp,2023-05-04T00:00:00Z,16.556655092592592,9.14103370949074,12.329043692129629,2.664583118888889,23.977900942757216,2023-05-04T19:55:01,18.1,15.1,0.11112662135230629,23-05
temp,2023-05-05T00:00:00Z,16.738987268518517,13.458883101851848,15.15640190972222,1.6352933241666665,24.00886842949416,2023-05-05T19:55:32,18.1,15.1,0.06811205321770844,23-05
temp,2023-05-06T00:00:00Z,17.87492476851852,15.79396339699074,18.471827980324075,0.6573041069444444,23.995337340465557,2023-05-06T19:55:16,21.1,15.1,0.02739299296434444,23-05
temp,2023-05-07T00:00:00Z,20.154097222222227,18.541948784722223,21.378613281249997,0,24.000628841652787,2023-05-07T19:55:18,23.5,17.1,0,23-05
temp,2023-05-08T00:00:00Z,22.54993055555556,18.999197048611112,21.965766059027775,0,23.99960845221361,2023-05-08T19:55:17,24,20.1,0,23-05
temp,2023-05-09T00:00:00Z,19.63244791666667,14.476204427083333,17.69747178819444,0,23.99693764374889,2023-05-09T19:55:06,23.5,16.9,0,23-05
temp,2023-05-10T00:00:00Z,18.505219907407405,15.085257523148151,17.731640624999994,0.6235058727777778,24.01302156087528,2023-05-10T19:55:53,21.1,15.1,0.025965323489054944,23-05
temp,2023-05-11T00:00:00Z,20.133229166666663,18.57833116319444,20.601996527777775,0,23.981663740392776,2023-05-11T19:55:47,22.6,17.4,0,23-05
temp,2023-05-12T00:00:00Z,21.622934027777777,19.931890190972222,22.074175347222223,0,23.99681044636445,2023-05-12T19:55:35,24.1,18.8,0,23-05
