name,time,Bat_Ahr,Bat_Watts_in,DC_A,DC_V,SOC,heat,interval,kWhr,local_dt,old_plug,parm,watts
power,2023-02-06T22:48:31Z,,,,,,,,,2023-02-06T17:48:31,ON,,
power,2023-02-06T22:49:54Z,,,,,,,,107.74,2023-02-06T17:49:54,,lamp_pwr,0
power,2023-02-06T22:49:56Z,,,,,,ON,,,2023-02-06T17:49:56,,,
power,2023-02-06T22:53:31Z,,,,,,,,,2023-02-06T17:53:31,ON,,
power,2023-02-06T22:54:55Z,,,,,,,,107.74,2023-02-06T17:54:55,,lamp_pwr,0
power,2023-02-06T22:54:56Z,,,,,,ON,,,2023-02-06T17:54:56,,,
power,2023-02-06T22:58:31Z,,,,,,,,,2023-02-06T17:58:31,ON,,
power,2023-02-06T22:59:55Z,,,,,,,,107.74,2023-02-06T17:59:55,,lamp_pwr,0
power,2023-02-06T22:59:56Z,,,,,,ON,,,2023-02-06T17:59:56,,,
power,2023-02-06T23:03:11Z,,,,,,OFF,,,2023-02-06T18:03:11,,,
power,2023-02-06T23:03:31Z,,,,,,,,,2023-02-06T18:03:31,ON,,
power,2023-02-06T23:04:54Z,,,,,,,,107.74,2023-02-06T18:04:54,,lamp_pwr,0
power,2023-02-06T23:04:56Z,,,,,,OFF,,,2023-02-06T18:04:56,,,
power,2023-02-06T23:08:31Z,,,,,,,,,2023-02-06T18:08:31,ON,,
power,2023-02-06T23:09:54Z,,,,,,,,107.74,2023-02-06T18:09:54,,lamp_pwr,0
power,2023-02-06T23:09:56Z,,,,,,OFF,,,2023-02-06T18:09:56,,,
power,2023-02-06T23:13:31Z,,,,,,,,,2023-02-06T18:13:31,ON,,
power,2023-02-06T23:14:54Z,,,,,,,,107.74,2023-02-06T18:14:54,,lamp_pwr,0
power,2023-02-06T23:14:56Z,,,,,,OFF,,,2023-02-06T18:14:56,,,
power,2023-02-06T23:18:27Z,,,,,,,,,2023-02-06T18:18:27,OFF,,
power,2023-02-06T23:18:31Z,,,,,,,,,2023-02-06T18:18:31,OFF,,
power,2023-02-06T23:18:54Z,,,,,,,,,2023-02-06T18:18:54,OFF,,
power,2023-02-06T23:19:54Z,,,,,,,,107.74,2023-02-06T18:19:54,,lamp_pwr,0
power,2023-02-06T23:19:56Z,,,,,,OFF,,,2023-02-06T18:19:56,,,
power,2023-02-06T23:23:31Z,,,,,,,,,2023-02-06T18:23:31,OFF,,
power,2023-02-06T23:24:54Z,,,,,,,,107.74,2023-02-06T18:24:54,,lamp_pwr,0
power,2023-02-06T23:24:56Z,,,,,,OFF,,,2023-02-06T18:24:56,,,
power,2023-02-06T23:28:31Z,,,,,,,,,2023-02-06T18:28:31,OFF,,
power,2023-02-06T23:29:54Z,,,,,,,,107.74,2023-02-06T18:29:54,,lamp_pwr,0
power,2023-02-06T23:29:56Z,,,,,,OFF,,,2023-02-06T18:29:56,,,
power,2023-02-06T23:33:31Z,,,,,,,,,2023-02-06T18:33:31,OFF,,
power,2023-02-06T23:34:54Z,,,,,,,,107.74,2023-02-06T18:34:54,,lamp_pwr,0
power,2023-02-06T23:34:56Z,,,,,,OFF,,,2023-02-06T18:34:56,,,
