name,time,heat,kWhr,local_dt,old_plug,parm,watts
power,2023-01-18T20:39:08Z,,107.353,2023-01-18T15:39:08,,lamp_pwr,185
power,2023-01-18T20:39:08Z,ON,,2023-01-18T15:39:08,,,
power,2023-01-18T20:40:09Z,,,2023-01-18T15:40:09,ON,,
power,2023-01-18T20:44:08Z,,107.369,2023-01-18T15:44:08,,lamp_pwr,185
power,2023-01-18T20:44:08Z,ON,,2023-01-18T15:44:08,,,
power,2023-01-18T20:45:09Z,,,2023-01-18T15:45:09,ON,,
power,2023-01-18T20:49:08Z,,107.384,2023-01-18T15:49:08,,lamp_pwr,185
power,2023-01-18T20:49:08Z,ON,,2023-01-18T15:49:08,,,
power,2023-01-18T20:50:09Z,,,2023-01-18T15:50:09,ON,,
power,2023-01-18T20:54:08Z,,107.4,2023-01-18T15:54:08,,lamp_pwr,185
power,2023-01-18T20:54:08Z,ON,,2023-01-18T15:54:08,,,
power,2023-01-18T20:55:09Z,,,2023-01-18T15:55:09,ON,,
power,2023-01-18T20:59:08Z,,107.415,2023-01-18T15:59:08,,lamp_pwr,184
power,2023-01-18T20:59:08Z,ON,,2023-01-18T15:59:08,,,
power,2023-01-18T21:00:09Z,,,2023-01-18T16:00:09,ON,,
power,2023-01-18T21:04:08Z,,107.431,2023-01-18T16:04:08,,lamp_pwr,185
power,2023-01-18T21:04:08Z,ON,,2023-01-18T16:04:08,,,
power,2023-01-18T21:05:09Z,,,2023-01-18T16:05:09,ON,,
power,2023-01-18T21:09:08Z,,107.447,2023-01-18T16:09:08,,lamp_pwr,185
power,2023-01-18T21:09:08Z,ON,,2023-01-18T16:09:08,,,
power,2023-01-18T21:10:09Z,,,2023-01-18T16:10:09,ON,,
power,2023-01-18T21:14:08Z,,107.462,2023-01-18T16:14:08,,lamp_pwr,182
power,2023-01-18T21:14:08Z,ON,,2023-01-18T16:14:08,,,
power,2023-01-18T21:15:09Z,,,2023-01-18T16:15:09,ON,,
power,2023-01-18T21:19:08Z,,107.478,2023-01-18T16:19:08,,lamp_pwr,184
power,2023-01-18T21:19:08Z,ON,,2023-01-18T16:19:08,,,
power,2023-01-18T21:20:09Z,,,2023-01-18T16:20:09,ON,,
power,2023-01-18T21:21:34Z,OFF,,2023-01-18T16:21:34,,,
power,2023-01-18T21:24:08Z,,107.485,2023-01-18T16:24:08,,lamp_pwr,0
power,2023-01-18T21:24:08Z,OFF,,2023-01-18T16:24:08,,,
power,2023-01-18T21:25:09Z,,,2023-01-18T16:25:09,ON,,
power,2023-01-18T21:29:08Z,,107.485,2023-01-18T16:29:08,,lamp_pwr,0
power,2023-01-18T21:29:08Z,OFF,,2023-01-18T16:29:08,,,
power,2023-01-18T21:30:09Z,,,2023-01-18T16:30:09,ON,,
power,2023-01-18T21:34:08Z,,107.485,2023-01-18T16:34:08,,lamp_pwr,0
power,2023-01-18T21:34:08Z,OFF,,2023-01-18T16:34:08,,,
power,2023-01-18T21:35:09Z,,,2023-01-18T16:35:09,ON,,
power,2023-01-18T21:39:08Z,,107.485,2023-01-18T16:39:08,,lamp_pwr,0
power,2023-01-18T21:39:08Z,OFF,,2023-01-18T16:39:08,,,
power,2023-01-18T21:40:09Z,,,2023-01-18T16:40:09,ON,,
power,2023-01-18T21:44:08Z,,107.485,2023-01-18T16:44:08,,lamp_pwr,0
power,2023-01-18T21:44:08Z,OFF,,2023-01-18T16:44:08,,,
power,2023-01-18T21:45:09Z,,,2023-01-18T16:45:09,ON,,
power,2023-01-18T21:49:08Z,,107.485,2023-01-18T16:49:08,,lamp_pwr,0
power,2023-01-18T21:49:08Z,OFF,,2023-01-18T16:49:08,,,
power,2023-01-18T21:50:09Z,,,2023-01-18T16:50:09,ON,,
power,2023-01-18T21:52:46Z,,,2023-01-18T16:52:46,ON,,
power,2023-01-18T21:54:08Z,,107.485,2023-01-18T16:54:08,,lamp_pwr,0
power,2023-01-18T21:54:08Z,OFF,,2023-01-18T16:54:08,,,
power,2023-01-18T21:55:09Z,,,2023-01-18T16:55:09,ON,,
power,2023-01-18T21:58:18Z,,,2023-01-18T16:58:18,ON,,
power,2023-01-18T21:59:08Z,,107.485,2023-01-18T16:59:08,,lamp_pwr,0
power,2023-01-18T21:59:08Z,OFF,,2023-01-18T16:59:08,,,
power,2023-01-18T22:00:09Z,,,2023-01-18T17:00:09,ON,,
power,2023-01-18T22:01:02Z,,,2023-01-18T17:01:02,ON,,
power,2023-01-18T22:04:08Z,,107.485,2023-01-18T17:04:08,,lamp_pwr,0
power,2023-01-18T22:04:08Z,OFF,,2023-01-18T17:04:08,,,
power,2023-01-18T22:05:09Z,,,2023-01-18T17:05:09,ON,,
power,2023-01-18T22:09:08Z,,107.485,2023-01-18T17:09:08,,lamp_pwr,0
power,2023-01-18T22:09:08Z,OFF,,2023-01-18T17:09:08,,,
power,2023-01-18T22:10:09Z,,,2023-01-18T17:10:09,ON,,
power,2023-01-18T22:14:08Z,,107.485,2023-01-18T17:14:08,,lamp_pwr,0
power,2023-01-18T22:14:08Z,OFF,,2023-01-18T17:14:08,,,
power,2023-01-18T22:15:09Z,,,2023-01-18T17:15:09,ON,,
power,2023-01-18T22:18:47Z,ON,,2023-01-18T17:18:47,,,
power,2023-01-18T22:19:08Z,,107.486,2023-01-18T17:19:08,,lamp_pwr,184
power,2023-01-18T22:19:08Z,ON,,2023-01-18T17:19:08,,,
power,2023-01-18T22:20:09Z,,,2023-01-18T17:20:09,ON,,
power,2023-01-18T22:24:08Z,,107.502,2023-01-18T17:24:08,,lamp_pwr,183
power,2023-01-18T22:24:08Z,ON,,2023-01-18T17:24:08,,,
power,2023-01-18T22:25:09Z,,,2023-01-18T17:25:09,ON,,
power,2023-01-18T22:29:08Z,,107.517,2023-01-18T17:29:08,,lamp_pwr,184
power,2023-01-18T22:29:08Z,ON,,2023-01-18T17:29:08,,,
power,2023-01-18T22:30:09Z,,,2023-01-18T17:30:09,ON,,
power,2023-01-18T22:30:50Z,OFF,,2023-01-18T17:30:50,,,
power,2023-01-18T22:34:08Z,,107.523,2023-01-18T17:34:08,,lamp_pwr,0
power,2023-01-18T22:34:08Z,OFF,,2023-01-18T17:34:08,,,
power,2023-01-18T22:35:09Z,,,2023-01-18T17:35:09,ON,,
power,2023-01-18T22:39:08Z,,107.523,2023-01-18T17:39:08,,lamp_pwr,0
power,2023-01-18T22:39:08Z,OFF,,2023-01-18T17:39:08,,,
power,2023-01-18T22:40:09Z,,,2023-01-18T17:40:09,ON,,
power,2023-01-18T22:44:08Z,,107.523,2023-01-18T17:44:08,,lamp_pwr,0
power,2023-01-18T22:44:08Z,OFF,,2023-01-18T17:44:08,,,
power,2023-01-18T22:45:09Z,,,2023-01-18T17:45:09,ON,,
power,2023-01-18T22:49:08Z,,107.523,2023-01-18T17:49:08,,lamp_pwr,0
power,2023-01-18T22:49:08Z,OFF,,2023-01-18T17:49:08,,,
power,2023-01-18T22:50:09Z,,,2023-01-18T17:50:09,ON,,
power,2023-01-18T22:53:56Z,ON,,2023-01-18T17:53:56,,,
power,2023-01-18T22:54:08Z,,107.523,2023-01-18T17:54:08,,lamp_pwr,182
power,2023-01-18T22:54:08Z,ON,,2023-01-18T17:54:08,,,
power,2023-01-18T22:55:09Z,,,2023-01-18T17:55:09,ON,,
power,2023-01-18T22:59:08Z,,107.539,2023-01-18T17:59:08,,lamp_pwr,185
power,2023-01-18T22:59:08Z,ON,,2023-01-18T17:59:08,,,
power,2023-01-18T23:00:09Z,,,2023-01-18T18:00:09,ON,,
power,2023-01-18T23:03:58Z,OFF,,2023-01-18T18:03:58,,,
power,2023-01-18T23:04:08Z,,107.554,2023-01-18T18:04:08,,lamp_pwr,0
power,2023-01-18T23:04:08Z,OFF,,2023-01-18T18:04:08,,,
power,2023-01-18T23:05:09Z,,,2023-01-18T18:05:09,ON,,
power,2023-01-18T23:09:08Z,,107.554,2023-01-18T18:09:08,,lamp_pwr,0
power,2023-01-18T23:09:08Z,OFF,,2023-01-18T18:09:08,,,
power,2023-01-18T23:10:09Z,,,2023-01-18T18:10:09,ON,,
power,2023-01-18T23:14:08Z,,107.554,2023-01-18T18:14:08,,lamp_pwr,0
power,2023-01-18T23:14:08Z,OFF,,2023-01-18T18:14:08,,,
power,2023-01-18T23:15:09Z,,,2023-01-18T18:15:09,ON,,
power,2023-01-18T23:19:08Z,,107.554,2023-01-18T18:19:08,,lamp_pwr,0
power,2023-01-18T23:19:08Z,OFF,,2023-01-18T18:19:08,,,
power,2023-01-18T23:20:09Z,,,2023-01-18T18:20:09,ON,,
power,2023-01-18T23:24:08Z,,107.554,2023-01-18T18:24:08,,lamp_pwr,0
power,2023-01-18T23:24:08Z,OFF,,2023-01-18T18:24:08,,,
power,2023-01-18T23:25:09Z,,,2023-01-18T18:25:09,ON,,
power,2023-01-18T23:29:04Z,ON,,2023-01-18T18:29:04,,,
