name,time,avgWatts,interval,kWh_charge,kWh_discharge,local_dt,maxChargeCurrent,maxChargeWatts,maxDischargeCurrent,maxDischargeWatts,min_Ahr2empty,min_m30Voltage,min_soc,pakMinT,pakMinV,yr_mo
battery,2023-05-14T00:00:00Z,-1252.0871477378275,3.4596338913175795,11.313994140625,9.130220703125,2023-05-14T19:59:47,-4.06,-230.46,-128.85,-7183.28,521.66225,54.15566666666669,86.79,15,3.86,23-05
battery,2023-05-15T00:00:00Z,95.89972979640969,23.717474613984436,16.458140625,12.0368935546875,2023-05-15T19:59:42,104.34,5895.24,-134.47,-6630.3,303.00453125,49.277714285714275,50.41,7,3.53,23-05
battery,2023-05-16T00:00:00Z,-367.4013582637746,23.70787928250101,16.458140625,13.517828125,2023-05-16T19:59:37,36.54,1939.12,-128.6,-6584.63,387.57634375,50.345294117647036,64.48,11,3.61,23-05
